--- Starting Multi-Seed Training for Seeds: [9006] ---

=======================================================
  Training Seed 9006 on Device: cuda
=======================================================
Seed 9006 | Epoch 345/1220 | Avg R: 0.0188 | Val Loss: 0.0005 | KL: 0.0208 | LinErr: 0.756 | YawErr: 0.338 | |A|: 0.326 | R>0: 97.33% | Done: 0.01% | Sigma: 0.335 | Steps: 56524800 | Time: 3874.8s
Seed 9006 | Epoch 350/1220 | Avg R: 0.0190 | Val Loss: 0.0004 | KL: 0.0197 | LinErr: 0.748 | YawErr: 0.333 | |A|: 0.325 | R>0: 97.42% | Done: 0.00% | Sigma: 0.336 | Steps: 57344000 | Time: 3930.8s
Seed 9006 | Epoch 355/1220 | Avg R: 0.0169 | Val Loss: 0.0004 | KL: 0.0178 | LinErr: 0.836 | YawErr: 0.362 | |A|: 0.347 | R>0: 96.51% | Done: 0.00% | Sigma: 0.337 | Steps: 58163200 | Time: 3985.5s
Seed 9006 | Epoch 360/1220 | Avg R: 0.0166 | Val Loss: 0.0004 | KL: 0.0215 | LinErr: 0.836 | YawErr: 0.404 | |A|: 0.350 | R>0: 95.97% | Done: 0.00% | Sigma: 0.338 | Steps: 58982400 | Time: 4040.8s
Seed 9006 | Epoch 365/1220 | Avg R: 0.0171 | Val Loss: 0.0005 | KL: 0.0203 | LinErr: 0.822 | YawErr: 0.383 | |A|: 0.356 | R>0: 96.41% | Done: 0.00% | Sigma: 0.341 | Steps: 59801600 | Time: 4095.1s
Seed 9006 | Epoch 370/1220 | Avg R: 0.0173 | Val Loss: 0.0005 | KL: 0.0218 | LinErr: 0.807 | YawErr: 0.373 | |A|: 0.353 | R>0: 96.29% | Done: 0.00% | Sigma: 0.341 | Steps: 60620800 | Time: 4150.3s
Seed 9006 | Epoch 375/1220 | Avg R: 0.0179 | Val Loss: 0.0005 | KL: 0.0197 | LinErr: 0.790 | YawErr: 0.346 | |A|: 0.349 | R>0: 96.68% | Done: 0.00% | Sigma: 0.343 | Steps: 61440000 | Time: 4206.3s
Seed 9006 | Epoch 380/1220 | Avg R: 0.0181 | Val Loss: 0.0004 | KL: 0.0201 | LinErr: 0.780 | YawErr: 0.346 | |A|: 0.347 | R>0: 96.57% | Done: 0.00% | Sigma: 0.345 | Steps: 62259200 | Time: 4261.9s
Seed 9006 | Epoch 385/1220 | Avg R: 0.0185 | Val Loss: 0.0004 | KL: 0.0191 | LinErr: 0.769 | YawErr: 0.314 | |A|: 0.349 | R>0: 96.86% | Done: 0.00% | Sigma: 0.347 | Steps: 63078400 | Time: 4316.1s
Seed 9006 | Epoch 390/1220 | Avg R: 0.0187 | Val Loss: 0.0005 | KL: 0.0206 | LinErr: 0.756 | YawErr: 0.302 | |A|: 0.351 | R>0: 97.07% | Done: 0.00% | Sigma: 0.349 | Steps: 63897600 | Time: 4372.0s
Seed 9006 | Epoch 395/1220 | Avg R: 0.0188 | Val Loss: 0.0005 | KL: 0.0209 | LinErr: 0.753 | YawErr: 0.298 | |A|: 0.348 | R>0: 97.40% | Done: 0.00% | Sigma: 0.351 | Steps: 64716800 | Time: 4427.9s
Seed 9006 | Epoch 400/1220 | Avg R: 0.0189 | Val Loss: 0.0004 | KL: 0.0201 | LinErr: 0.744 | YawErr: 0.293 | |A|: 0.346 | R>0: 97.38% | Done: 0.00% | Sigma: 0.353 | Steps: 65536000 | Time: 4484.6s
Seed 9006 | Epoch 405/1220 | Avg R: 0.0169 | Val Loss: 0.0004 | KL: 0.0216 | LinErr: 0.834 | YawErr: 0.310 | |A|: 0.364 | R>0: 96.49% | Done: 0.00% | Sigma: 0.354 | Steps: 66355200 | Time: 4539.7s
Seed 9006 | Epoch 410/1220 | Avg R: 0.0168 | Val Loss: 0.0004 | KL: 0.0143 | LinErr: 0.834 | YawErr: 0.333 | |A|: 0.368 | R>0: 96.01% | Done: 0.00% | Sigma: 0.355 | Steps: 67174400 | Time: 4594.5s
Seed 9006 | Epoch 415/1220 | Avg R: 0.0171 | Val Loss: 0.0005 | KL: 0.0179 | LinErr: 0.821 | YawErr: 0.337 | |A|: 0.369 | R>0: 96.31% | Done: 0.00% | Sigma: 0.357 | Steps: 67993600 | Time: 4650.3s
Seed 9006 | Epoch 420/1220 | Avg R: 0.0176 | Val Loss: 0.0005 | KL: 0.0190 | LinErr: 0.803 | YawErr: 0.307 | |A|: 0.373 | R>0: 96.47% | Done: 0.00% | Sigma: 0.360 | Steps: 68812800 | Time: 4705.6s
